clause_id,doc_id,title,snippet_text,is_decision_point,question,verbatim
TS 23.179 # 9.3.1,TS 23.179,Clause 9.3.1: Off-network architectural model diagram,"9.3.1-1 shows the off-network architectural model for the MCPTT system solution for inter-UE communication, where no relay function is used. EMBED Visio.Drawing.11 9.3.1-1: Off-network architectural model for inter-UE communication where no relay function is used 9.3.1-2 shows the off-network archit",,,
TS 23.179 # 10.4.2,TS 23.179,Clause 10.4.2: Information flows for group management,10.4.2.1 Group creation request 10.4.2.1-1 describes the information flow group creation request from the group management client to the group management server. 10.4.2.1-1: Group creation request Information element Description MCPTT ID list List of MCPTT IDs that are part of the group to be create,,,
TS 23.280 # 5.2.1,TS 23.280,Clause 5.2.1: General architectural requirements,"General MC service architectural requirements include: a) To develop economies of scale, it will be useful if PLMN operators can reuse the MC service architecture for non-public safety customers that require similar functionality. These PLMN operators may want to integrate many components of the MC",,,
TS 23.280 # 7.2,TS 23.280,Clause 7.2: Description of the planes,"The following planes are identified: a) application plane: The application plane provides all of the services (e.g. call control, floor control, video control, data control) required by the user together with the necessary functions to support MC service. It uses the services of the signalling contr",,,
TS 23.280 # 10.2.4,TS 23.280,Clause 10.2.4: Group regrouping,"10.2.4.1 Temporary group formation - group regrouping within an MC system Figure 10.2.4.1-1 below illustrates the group regroup operations to create a temporary group within an MC system. For simplicity, only the case of two MC service groups being combined is represented, but the procedure is the s",,,
TS 23.280 # 10.3.2,TS 23.280,Clause 10.3.2: Procedures,10.3.2.1 General The pre-established session can be established after MC service authorization for the user (see 3GPP TS 23.379 [16]). The pre-established session is a session establishment procedure between the MC service client and the MC service server to exchange necessary media parameters neede,,,
TS 23.280 # 10.7.3,TS 23.280,Clause 10.7.3: Procedures for MBMS usage,"10.7.3.1 Use of pre-established MBMS bearers 10.7.3.1.1 General In this scenario, the MC service server pre-establishes MBMS bearer(s) in certain pre-configured areas before the initiation of the group communication session. When a user originates a request for a group communication session for one",,,
TS 23.280 # 10.9.3,TS 23.280,Clause 10.9.3: Procedure,"10.9.3.1 Event-triggered location reporting procedure NOTE 1: This procedure is valid for single MC system operation only. The location management server provides location reporting configuration to the location management clients, indicating what information the location management server expects a",,,
TS 23.280 # 10.11.6,TS 23.280,Clause 10.11.6: Request for media resources from MC service server,10.11.6.1 General The procedure in this sub clause specify how request for resource for floor control (or transmission control in MCVideo and MCData) and for the media plane can be handled independently. This procedure utilizes the Rx reference point both between from the MC service server to the PC,,,
TS 23.280 # 10.14.2,TS 23.280,Clause 10.14.2: Generic call procedure with topology hiding,"10.14.2.1 General The procedure in this subclause applies to MC service group calls and private calls made between multiple MC systems where topology hiding is required. An MC gateway server in an MC system is used to route calls to and from partner MC systems, and by doing so hides the topology of",,,
TS 23.280 # 10.14.3,TS 23.280,Clause 10.14.3: Generic call procedure for enforcement of local MC service group configuration,10.14.3.1 General The procedure in the following subclauses apply to MC service group calls made between multiple MC systems where the partner MC system applies local configuration to the MC service group configuration which has been provided by the primary MC system of the MC service group. The ser,,,
TS 23.280 # 10.15.3,TS 23.280,Clause 10.15.3: Regroup with preconfigured group,10.15.3.1 Void 10.15.3.2 Preconfigured regroup procedures in a single MC system The following subclauses define group and user regroup procedures using preconfigured groups within a single MC system. 10.15.3.2.1 Preconfigured Group Regroup formation in a single MC system Figure 10.15.3.2.1-1 illustr,,,
TS 23.379 # 7.4.2,TS 23.379,Clause 7.4.2: Application plane of MCPTT service	23,7.4.2.1 General 23 7.4.2.2 Common services core 23 7.4.2.3 MCPTT application service 23 7.4.2.3.1 MCPTT client 23 7.4.2.3.2 MCPTT server 23 7.4.2.3.3 Floor participant 25 7.4.2.3.4 Floor control server 25 7.4.2.3.5 Media distribution function 25 7.4.2.3.6 Media mixer 26 7.4.2.3.7 MCPTT user database,,,
TS 23.379 # 7.5.2,TS 23.379,Clause 7.5.2: Application plane of MCPTT service	26,7.5.2.1 General 26 7.5.2.2 Reference point MCPTT-1 (between the MCPTT client and the MCPTT server) 26 7.5.2.3 Reference point MCPTT-2 (between the MCPTT server and the MCPTT user database) 27 7.5.2.4 Reference point MCPTT-3 (between the MCPTT server and the MCPTT server and between the MCPTT server,,,
TS 23.379 # 10.9.1,TS 23.379,Clause 10.9.1: Floor control for on-network MCPTT service	167,10.9.1.1 General 167 10.9.1.2 Information flows for floor control for on-network 167 10.9.1.2.1 General 167 10.9.1.2.2 Floor request 167 10.9.1.2.3 Floor granted 168 10.9.1.2.4 Floor rejected 168 10.9.1.2.5 Floor request cancel 168 10.9.1.2.6 Floor request cancel response 169 10.9.1.2.7 Floor reques,,,
TS 23.379 # 10.9.2,TS 23.379,Clause 10.9.2: Floor control for off-network MCPTT service	197,10.9.2.1 General 197 10.9.2.2 Information flows for floor control for off-network 198 10.9.2.2.1 General 198 10.9.2.2.2 Floor granted 198 10.9.2.3 Floor control during silence 198 10.9.2.3.1 Successful floor taken (No floor contention) 198 10.9.2.4 Simultaneous floor requests 199 10.9.2.5 Floor requ,,,
TS 23.379 # 3.1,TS 23.379,Clause 3.1: Definitions,"For the purposes of the present document, the terms and definitions given in 3GPP TR 21.905 [1] and the following apply. A term defined in the present document takes precedence over the definition of the same term, if any, in 3GPP TR 21.905 [1]. Automatic commencement mode: A mode in which the initi",,,
TS 23.379 # 7.3.1,TS 23.379,Clause 7.3.1: On-network functional model,"Figure 7.3.1-1 shows the functional model for the application plane of the MCPTT service. Figure 7.3.1-1: Functional model for application plane of the MCPTT service In the model shown in figure 7.3.1-1, the following apply: - The MCPTT server is an instantiation of a MC service server in accordance",,,
TS 23.379 # 7.4.2,TS 23.379,Clause 7.4.2: Application plane of MCPTT service,"7.4.2.1 General Entities within the application plane of MCPTT service provide application control, media control and distribution functions. 7.4.2.2 Common services core The description of the common services core entities are contained in common functional architecture to support MC services in 3G",,,
TS 23.379 # 7.5.2,TS 23.379,Clause 7.5.2: Application plane of MCPTT service,"7.5.2.1 General The reference points for the application plane of MCPTT service are described in the following subclauses. 7.5.2.2 Reference point MCPTT-1 (between the MCPTT client and the MCPTT server) The MCPTT-1 reference point, which exists between the MCPTT client and the MCPTT server, is used",,,
TS 23.379 # 10.5.1,TS 23.379,Clause 10.5.1: General,The MCPTT server and client may use one or more pre-established sessions as defined in 3GPP TS 23.280 [16] for the following procedures for on-network: - Group calls (as specified in subclause 10.6.2.3 and subclause 10.6.2.4); - Private calls (as specified in subclause 10.7.2.2 and subclause 10.7.2.,,,
TS 23.379 # 10.5.3,TS 23.379,Clause 10.5.3: Procedures,10.5.3.1 General The MCPTT server and MCPTT client make use of the procedures defined in the following subclauses of the present document and the following procedures in 3GPP TS 23.280 [16]: - pre-established session establishment; - pre-established session modification; and - pre-established sessio,,,
TS 24.380 # 4.1.1,TS 24.380,Clause 4.1.1: Floor Control	21,4.1.1.1 General 21 4.1.1.2 On-network floor control 22 4.1.1.3 Off-network floor control 23 4.1.1.4 Determine on-network effective priority 23 4.1.1.5 Determine off-network effective priority 24,,,
TS 24.380 # 4.2.3,TS 24.380,Clause 4.2.3: Participating MCPTT function	30,4.2.3.1 General 30 4.2.3.2 Internal structure of the participating MCPTT function 30 4.2.3.3 The roles of the participating MCPTT function 31 4.2.3.3.1 For the floor control procedures 31 4.2.3.3.2 For the call over pre-established session procedures 31 4.2.3.3.3 For the use of MBMS bearer procedure,,,
TS 24.380 # 6.2.4,TS 24.380,Clause 6.2.4: Floor participant state transition diagram for basic operation	38,"6.2.4.1 General 38 6.2.4.2 State: 'Start-stop' 40 6.2.4.2.1 General 40 6.2.4.2.2 MCPTT call initiated, originating MCPTT user 40 6.2.4.2.3 MCPTT call established, terminating MCPTT user 40 6.2.4.3 State: 'U: has no permission' 40 6.2.4.3.1 General 40 6.2.4.3.2 Receive Floor Idle message (R: Floor Id",,,
TS 24.380 # 6.3.4,TS 24.380,Clause 6.3.4: Floor control server state transition diagram for general floor control operation	59,6.3.4.1 General 59 6.3.4.2 State: 'Start-stop' 61 6.3.4.2.1 General 61 6.3.4.2.2 MCPTT call initialization 61 6.3.4.3 State: 'G: Floor Idle' 61 6.3.4.3.1 General 61 6.3.4.3.2 Enter the 'G: Floor Idle' state 62 6.3.4.3.3 Receive Floor Request message (R: Floor Request) 63 6.3.4.3.4 Timer T7 (Floor Id,,,
TS 24.380 # 6.3.5,TS 24.380,Clause 6.3.5: Floor control server state transition diagram for basic floor control operation towards the floor par,ticipant 78 6.3.5.1 General 78 6.3.5.2 State: 'Start-stop' 80 6.3.5.2.1 General 80 6.3.5.2.2 SIP Session initiated 81 6.3.5.3 State: 'U: not permitted and Floor Idle' 84 6.3.5.3.1 General 84 6.3.5.3.2 Enter state 'U: not permitted and Floor Idle' 84 6.3.5.3.3 Send Floor Taken message (S: Floor Taken,,,
TS 24.380 # 6.3.6,TS 24.380,Clause 6.3.6: Dual floor control	107,6.3.6.1 General 107 6.3.6.2 State: 'Start-stop' 108 6.3.6.2.1 General 108 6.3.6.2.2 Receive Floor Request message with overriding pre-emptive floor priority (R: Floor Request) 109 6.3.6.3 State: 'D: Floor Taken' 109 6.3.6.3.1 General 109 6.3.6.3.2 Enter state 'D: Floor Taken' 109 6.3.6.3.3 Timer T11,,,
TS 24.380 # 6.5.4,TS 24.380,Clause 6.5.4: Floor control server interface procedures	119,6.5.4.1 General 119 6.5.4.2 Receiving a Floor Request message 119 6.5.4.3 Receive Floor Release message 119 6.5.4.4 Receive Floor Queue Position Request message 120 6.5.4.5 Receive Floor Ack message 120 6.5.4.6 Receive Floor Granted message 120 6.5.4.7 Receive Floor Deny message 122 6.5.4.8 Receive,,,
TS 24.380 # 6.5.5,TS 24.380,Clause 6.5.5: Floor participant interface procedures	126,6.5.5.1 General 126 6.5.5.2 State: 'Start-Stop' 127 6.5.5.2.1 General 127 6.5.5.2.2 Participant invited to session 127 6.5.5.3 State: 'P: has no permission' 128 6.5.5.3.1 General 128 6.5.5.3.2 Receive Floor Idle message (R: Floor Idle) 128 6.5.5.3.3 Receive Floor Taken message (R: Floor Taken) 128 6,,,
TS 24.380 # 7.2.3,TS 24.380,Clause 7.2.3: Floor participant state diagram – basic operation	135,7.2.3.1 General 135 7.2.3.2 State: 'Start-stop' 137 7.2.3.2.1 General 137 7.2.3.2.2 MCPTT call established – originating MCPTT user 137 7.2.3.2.3 MCPTT group call established – terminating MCPTT user 137 7.2.3.2.4 MCPTT private call established – terminating MCPTT user 137 7.2.3.2.5 Send Floor Reque,,,
TS 24.380 # 8.2.3,TS 24.380,Clause 8.2.3: Floor control specific fields	163,8.2.3.1 Introduction 163 8.2.3.2 Floor Priority field 164 8.2.3.3 Duration field 164 8.2.3.4 Reject Cause field 164 8.2.3.5 Queue Info field 165 8.2.3.6 Granted Party's Identity field 165 8.2.3.7 Permission to Request the Floor field 166 8.2.3.8 User ID field 166 8.2.3.9 Queue Size field 167 8.2.3.1,,,
